Id,Area,Type,Bedrooms,Floors,Parking,YearBuilt,Range,Location,Condition,Garage, Price 
I0273,2565,4 BHK,4,1,No,1921,1921-1940,Urban,Fair,No," $1,38,754.00 "
I0274,2316,3 BHK,3,3,Yes,1952,1941-1960,Downtown,Excellent,Yes," $2,71,775.00 "
I0275,1069,2 BHK,2,3,Yes,1958,1941-1960,Rural,Poor,No," $3,55,292.00 "
I0276,2395,3 BHK,3,1,No,1993,1981-2000,Suburban,Fair,Yes," $7,77,513.00 "
I0277,3233,4 BHK,4,1,No,2013,2001-2020,Suburban,Excellent,Yes," $7,26,894.00 "
I0278,4363,4 BHK,4,2,No,2006,2001-2020,Rural,Good,Yes," $7,96,355.00 "
I0279,4514,4 BHK,4,1,No,2023,2021-2040,Urban,Fair,No," $9,59,222.00 "
I0280,3401,4 BHK,4,1,No,1929,1921-1940,Downtown,Good,Yes," $9,22,510.00 "
I0281,2186,3 BHK,3,1,No,1907,1900-1920,Rural,Excellent,Yes," $1,06,879.00 "
I0282,3509,4 BHK,4,2,No,1997,1981-2000,Suburban,Good,Yes," $1,69,894.00 "
I0283,654,1 BHK,1,1,No,1956,1941-1960,Suburban,Poor,Yes," $6,40,127.00 "
I0284,3037,4 BHK,4,3,Yes,2010,2001-2020,Rural,Poor,No," $79,756.00 "
I0285,1909,3 BHK,3,2,No,1972,1961-1980,Suburban,Good,Yes," $7,18,043.00 "
I0286,4557,4 BHK,4,2,No,2014,2001-2020,Rural,Poor,Yes," $2,30,557.00 "
I0287,1284,2 BHK,2,3,Yes,1919,1900-1920,Suburban,Excellent,Yes," $2,79,303.00 "
I0288,3675,4 BHK,4,3,Yes,2003,2001-2020,Rural,Poor,Yes," $4,54,241.00 "
I0289,4841,4 BHK,4,3,Yes,1924,1921-1940,Downtown,Good,No," $7,24,075.00 "
I0290,3306,4 BHK,4,1,No,1918,1900-1920,Downtown,Good,Yes," $5,41,599.00 "
I0291,1037,2 BHK,2,3,Yes,1904,1900-1920,Downtown,Good,Yes," $5,45,283.00 "
I0292,2341,3 BHK,3,1,No,1974,1961-1980,Downtown,Fair,No," $6,67,231.00 "
I0293,2955,4 BHK,4,2,No,1978,1961-1980,Suburban,Good,Yes," $7,92,476.00 "
I0294,1024,2 BHK,2,2,No,1971,1961-1980,Urban,Excellent,Yes," $1,98,188.00 "
I0295,3450,4 BHK,4,3,Yes,1982,1981-2000,Rural,Poor,Yes," $6,11,032.00 "
I0296,4631,4 BHK,4,1,No,1986,1981-2000,Urban,Poor,No," $1,74,697.00 "
I0297,4615,4 BHK,4,3,Yes,1926,1921-1940,Suburban,Fair,Yes," $5,30,795.00 "
I0298,2868,4 BHK,4,3,Yes,1939,1921-1940,Suburban,Fair,No," $6,90,360.00 "
I0299,4347,4 BHK,4,1,No,1995,1981-2000,Urban,Excellent,No," $4,45,340.00 "
I0300,4995,4 BHK,4,3,Yes,1925,1921-1940,Urban,Good,No," $2,86,028.00 "
I0301,3201,4 BHK,4,2,No,1926,1921-1940,Suburban,Fair,No," $7,43,411.00 "
I0302,1471,2 BHK,2,3,Yes,1961,1961-1980,Suburban,Poor,No," $57,176.00 "
I0303,1666,3 BHK,3,1,No,1982,1981-2000,Rural,Fair,No," $9,27,742.00 "
I0304,3274,4 BHK,4,1,No,1949,1941-1960,Downtown,Fair,No," $8,26,653.00 "
I0305,2482,3 BHK,3,2,No,1941,1941-1960,Downtown,Good,Yes," $5,08,034.00 "
I0306,1353,2 BHK,2,1,No,1928,1921-1940,Rural,Fair,Yes," $5,63,611.00 "
I0307,4646,4 BHK,4,1,No,1938,1921-1940,Urban,Excellent,No," $1,99,748.00 "
I0308,4236,4 BHK,4,2,No,1959,1941-1960,Suburban,Poor,No," $95,177.00 "
I0309,4269,4 BHK,4,3,Yes,1940,1921-1940,Urban,Good,No," $5,33,512.00 "
I0310,1074,2 BHK,2,2,No,1932,1921-1940,Downtown,Poor,No," $1,60,623.00 "
I0311,3761,4 BHK,4,3,Yes,1982,1981-2000,Downtown,Excellent,No," $5,75,285.00 "
I0312,1648,3 BHK,3,2,No,2000,1981-2000,Urban,Excellent,No," $5,02,546.00 "
I0313,2215,3 BHK,3,3,Yes,1982,1981-2000,Downtown,Fair,Yes," $5,46,184.00 "
I0314,4354,4 BHK,4,2,No,1996,1981-2000,Suburban,Fair,Yes," $6,94,467.00 "
I0315,2991,4 BHK,4,3,Yes,2010,2001-2020,Rural,Fair,No," $2,97,439.00 "
I0316,3160,4 BHK,4,2,No,1915,1900-1920,Urban,Poor,No," $6,94,691.00 "
I0317,3624,4 BHK,4,3,Yes,1922,1921-1940,Suburban,Excellent,No," $9,78,735.00 "
I0318,3551,4 BHK,4,2,No,1906,1900-1920,Suburban,Good,Yes," $1,45,287.00 "
I0319,504,1 BHK,1,1,No,1925,1921-1940,Downtown,Fair,No," $1,69,574.00 "
I0320,1376,2 BHK,2,3,Yes,1995,1981-2000,Suburban,Poor,Yes," $8,30,751.00 "
I0321,1491,2 BHK,2,2,No,1911,1900-1920,Urban,Fair,Yes," $1,71,509.00 "
I0322,4642,4 BHK,4,3,Yes,1971,1961-1980,Suburban,Excellent,Yes," $3,97,591.00 "
I0323,4864,4 BHK,4,3,Yes,1904,1900-1920,Rural,Good,No," $9,45,954.00 "
I0324,4965,4 BHK,4,2,No,2005,2001-2020,Suburban,Excellent,No," $4,99,181.00 "
I0325,1135,2 BHK,2,3,Yes,1991,1981-2000,Suburban,Poor,Yes," $3,93,288.00 "
I0326,2193,3 BHK,3,2,No,2016,2001-2020,Rural,Fair,Yes," $8,22,793.00 "
I0327,2182,3 BHK,3,1,No,1968,1961-1980,Suburban,Excellent,Yes," $2,42,589.00 "
I0328,619,1 BHK,1,3,Yes,1948,1941-1960,Suburban,Poor,Yes," $9,29,125.00 "
I0329,1330,2 BHK,2,1,No,1925,1921-1940,Downtown,Fair,No," $4,06,459.00 "
I0330,4175,4 BHK,4,3,Yes,1904,1900-1920,Urban,Good,Yes," $5,38,720.00 "
I0331,1869,3 BHK,3,3,Yes,1921,1921-1940,Downtown,Excellent,No," $8,63,819.00 "
I0332,1240,2 BHK,2,3,Yes,1978,1961-1980,Urban,Fair,Yes," $54,090.00 "
I0333,616,1 BHK,1,2,No,1912,1900-1920,Rural,Fair,No," $9,57,278.00 "
I0334,3338,4 BHK,4,1,No,1927,1921-1940,Rural,Fair,Yes," $4,68,161.00 "
I0335,1650,3 BHK,3,3,Yes,1932,1921-1940,Rural,Fair,No," $8,76,671.00 "
I0336,2431,3 BHK,3,2,No,2006,2001-2020,Urban,Excellent,No," $53,743.00 "
I0337,1512,2 BHK,2,3,Yes,1922,1921-1940,Urban,Fair,No," $80,924.00 "
I0338,2164,3 BHK,3,2,No,1996,1981-2000,Urban,Poor,Yes," $1,91,268.00 "
I0339,1581,2 BHK,2,3,Yes,2006,2001-2020,Rural,Excellent,No," $9,66,592.00 "
I0340,1012,2 BHK,2,1,No,1917,1900-1920,Urban,Fair,Yes," $9,28,247.00 "
I0341,3349,4 BHK,4,1,No,2013,2001-2020,Suburban,Excellent,No," $6,79,600.00 "
I0342,1059,2 BHK,2,3,Yes,2016,2001-2020,Downtown,Poor,No," $3,81,004.00 "
I0343,4172,4 BHK,4,2,No,1929,1921-1940,Rural,Poor,Yes," $7,90,537.00 "
I0344,3843,4 BHK,4,3,Yes,1925,1921-1940,Downtown,Excellent,No," $7,98,378.00 "
I0345,4570,4 BHK,4,2,No,1915,1900-1920,Suburban,Fair,No," $2,79,602.00 "
I0346,1970,3 BHK,3,3,Yes,1976,1961-1980,Urban,Fair,Yes," $3,92,543.00 "
I0347,1080,2 BHK,2,2,No,1938,1921-1940,Downtown,Poor,No," $8,85,227.00 "
I0348,2794,4 BHK,4,1,No,1932,1921-1940,Suburban,Fair,No," $8,87,985.00 "
I0349,3647,4 BHK,4,3,Yes,1925,1921-1940,Suburban,Poor,No," $5,58,928.00 "
I0350,4749,4 BHK,4,1,No,1947,1941-1960,Downtown,Fair,No," $1,53,976.00 "
I0351,2179,3 BHK,3,1,No,1964,1961-1980,Rural,Poor,Yes," $2,05,183.00 "
I0352,4006,4 BHK,4,3,Yes,2012,2001-2020,Downtown,Good,No," $6,87,854.00 "
I0353,3244,4 BHK,4,3,Yes,1937,1921-1940,Rural,Fair,No," $3,07,443.00 "
I0354,3856,4 BHK,4,2,No,1901,1900-1920,Urban,Fair,No," $6,94,256.00 "
I0355,4545,4 BHK,4,2,No,2012,2001-2020,Rural,Fair,No," $1,11,600.00 "
I0356,1743,3 BHK,3,1,No,1905,1900-1920,Urban,Excellent,No," $6,24,310.00 "
I0357,3618,4 BHK,4,2,No,1945,1941-1960,Downtown,Fair,No," $7,08,559.00 "
I0358,2641,4 BHK,4,2,No,1949,1941-1960,Urban,Excellent,No," $8,87,329.00 "
I0359,3559,4 BHK,4,3,Yes,1937,1921-1940,Suburban,Excellent,No," $8,74,470.00 "
I0360,3459,4 BHK,4,2,No,2005,2001-2020,Urban,Poor,Yes," $1,73,323.00 "
I0361,2765,4 BHK,4,1,No,1987,1981-2000,Rural,Excellent,Yes," $2,36,110.00 "
I0362,2979,4 BHK,4,2,No,1917,1900-1920,Rural,Excellent,Yes," $6,94,566.00 "
I0363,2135,3 BHK,3,1,No,1926,1921-1940,Rural,Good,Yes," $9,47,486.00 "
I0364,2257,3 BHK,3,3,Yes,1940,1921-1940,Urban,Fair,No," $3,20,041.00 "
I0365,4952,4 BHK,4,1,No,1971,1961-1980,Rural,Excellent,No," $6,38,829.00 "
I0366,2570,4 BHK,4,2,No,1991,1981-2000,Rural,Fair,Yes," $1,56,968.00 "
I0367,3349,4 BHK,4,3,Yes,1973,1961-1980,Suburban,Excellent,Yes," $5,89,180.00 "
I0368,3751,4 BHK,4,2,No,1916,1900-1920,Urban,Poor,Yes," $9,75,775.00 "
I0369,4230,4 BHK,4,3,Yes,2018,2001-2020,Suburban,Good,No," $74,815.00 "
I0370,2989,4 BHK,4,3,Yes,1961,1961-1980,Rural,Excellent,No," $8,82,044.00 "
I0371,2131,3 BHK,3,2,No,1928,1921-1940,Rural,Fair,Yes," $4,76,573.00 "
I0372,3316,4 BHK,4,2,No,1957,1941-1960,Rural,Poor,Yes," $5,18,304.00 "
I0373,1515,2 BHK,2,3,Yes,1969,1961-1980,Urban,Fair,Yes," $8,52,699.00 "
I0374,1848,3 BHK,3,3,Yes,1977,1961-1980,Downtown,Poor,Yes," $8,54,700.00 "
I0375,3587,4 BHK,4,2,No,1921,1921-1940,Rural,Good,Yes," $6,88,751.00 "
I0376,3339,4 BHK,4,1,No,2017,2001-2020,Rural,Poor,No," $9,81,767.00 "
I0377,835,2 BHK,2,2,No,1905,1900-1920,Rural,Fair,Yes," $5,14,151.00 "
I0378,1395,2 BHK,2,3,Yes,1925,1921-1940,Rural,Fair,No," $9,31,779.00 "
I0379,4046,4 BHK,4,2,No,1938,1921-1940,Urban,Excellent,Yes," $2,40,732.00 "
I0380,1351,2 BHK,2,1,No,1911,1900-1920,Downtown,Poor,Yes," $2,46,599.00 "
I0381,2187,3 BHK,3,2,No,1998,1981-2000,Downtown,Fair,No," $2,44,451.00 "
I0382,2431,3 BHK,3,3,Yes,1913,1900-1920,Downtown,Excellent,Yes," $4,06,686.00 "
I0383,4246,4 BHK,4,2,No,1921,1921-1940,Rural,Good,No," $7,46,631.00 "
I0384,2927,4 BHK,4,3,Yes,1950,1941-1960,Rural,Fair,No," $3,78,756.00 "
I0385,2068,3 BHK,3,3,Yes,1922,1921-1940,Downtown,Excellent,Yes," $1,88,307.00 "
I0386,4500,4 BHK,4,2,No,1947,1941-1960,Downtown,Fair,Yes," $1,38,757.00 "
I0387,3238,4 BHK,4,3,Yes,1970,1961-1980,Rural,Poor,No," $4,59,633.00 "
I0388,3998,4 BHK,4,3,Yes,2003,2001-2020,Rural,Excellent,No," $9,34,507.00 "
I0389,4413,4 BHK,4,1,No,1949,1941-1960,Suburban,Poor,Yes," $3,46,753.00 "
I0390,1566,2 BHK,2,1,No,1988,1981-2000,Suburban,Good,No," $9,39,217.00 "
I0391,4880,4 BHK,4,1,No,1912,1900-1920,Suburban,Poor,Yes," $3,04,200.00 "
I0392,2944,4 BHK,4,1,No,1984,1981-2000,Downtown,Excellent,No," $5,97,933.00 "
I0393,4607,4 BHK,4,3,Yes,2004,2001-2020,Urban,Fair,Yes," $5,06,089.00 "
I0394,3873,4 BHK,4,2,No,1909,1900-1920,Rural,Excellent,No," $7,69,918.00 "
I0395,4469,4 BHK,4,3,Yes,2016,2001-2020,Suburban,Poor,No," $3,74,377.00 "
I0396,3046,4 BHK,4,3,Yes,1954,1941-1960,Urban,Poor,Yes," $4,23,587.00 "
I0397,1253,2 BHK,2,3,Yes,2022,2021-2040,Rural,Fair,No," $2,04,473.00 "
I0398,2582,4 BHK,4,2,No,1908,1900-1920,Urban,Good,No," $8,44,203.00 "
I0399,3274,4 BHK,4,1,No,1978,1961-1980,Downtown,Excellent,No," $5,17,667.00 "
I0400,3396,4 BHK,4,3,Yes,1951,1941-1960,Downtown,Fair,No," $5,22,650.00 "
I0401,4685,4 BHK,4,3,Yes,1901,1900-1920,Downtown,Fair,No," $5,10,665.00 "
I0402,1275,2 BHK,2,1,No,1924,1921-1940,Suburban,Fair,No," $4,14,745.00 "
I0403,2125,3 BHK,3,3,Yes,1912,1900-1920,Rural,Excellent,No," $5,35,820.00 "
I0404,3569,4 BHK,4,2,No,1997,1981-2000,Downtown,Excellent,Yes," $4,45,158.00 "
I0405,917,2 BHK,2,3,Yes,1950,1941-1960,Suburban,Excellent,No," $7,25,748.00 "
I0406,614,1 BHK,1,3,Yes,1957,1941-1960,Suburban,Good,No," $9,61,656.00 "
I0407,1116,2 BHK,2,1,No,1933,1921-1940,Suburban,Fair,Yes," $6,57,539.00 "
I0408,4474,4 BHK,4,3,Yes,1934,1921-1940,Suburban,Poor,No," $6,31,330.00 "
I0409,3767,4 BHK,4,3,Yes,2001,2001-2020,Downtown,Poor,No," $8,90,172.00 "
I0410,1325,2 BHK,2,2,No,1902,1900-1920,Suburban,Fair,Yes," $2,46,945.00 "
I0411,2016,3 BHK,3,1,No,2005,2001-2020,Downtown,Poor,No," $6,21,312.00 "
I0412,3646,4 BHK,4,1,No,2019,2001-2020,Downtown,Good,No," $7,28,810.00 "
I0413,912,2 BHK,2,2,No,1958,1941-1960,Suburban,Good,Yes," $6,31,253.00 "
I0414,1228,2 BHK,2,3,Yes,1969,1961-1980,Downtown,Excellent,Yes," $3,22,201.00 "
I0415,3848,4 BHK,4,1,No,2018,2001-2020,Rural,Excellent,No," $7,98,609.00 "
I0416,3308,4 BHK,4,1,No,1947,1941-1960,Rural,Excellent,No," $8,45,415.00 "
I0417,1175,2 BHK,2,3,Yes,1963,1961-1980,Urban,Excellent,Yes," $4,42,613.00 "
I0418,3965,4 BHK,4,3,Yes,2012,2001-2020,Rural,Excellent,No," $5,94,283.00 "
I0419,3004,4 BHK,4,1,No,1918,1900-1920,Downtown,Poor,Yes," $1,64,587.00 "
I0420,3467,4 BHK,4,3,Yes,1966,1961-1980,Downtown,Poor,Yes," $2,83,076.00 "
I0421,3286,4 BHK,4,1,No,1981,1981-2000,Rural,Excellent,Yes," $7,96,988.00 "
I0422,1622,3 BHK,3,3,Yes,2002,2001-2020,Suburban,Good,No," $5,20,897.00 "
I0423,4579,4 BHK,4,3,Yes,1972,1961-1980,Suburban,Poor,Yes," $88,886.00 "
I0424,2071,3 BHK,3,2,No,2015,2001-2020,Downtown,Good,Yes," $4,01,169.00 "
I0425,2643,4 BHK,4,3,Yes,1975,1961-1980,Suburban,Good,Yes," $5,39,788.00 "
I0426,2187,3 BHK,3,2,No,1904,1900-1920,Urban,Fair,No," $1,45,149.00 "
I0427,4632,4 BHK,4,3,Yes,1966,1961-1980,Urban,Fair,No," $6,68,308.00 "
I0428,4351,4 BHK,4,1,No,1910,1900-1920,Rural,Excellent,No," $5,76,961.00 "
I0429,3940,4 BHK,4,1,No,2020,2001-2020,Rural,Good,Yes," $9,13,945.00 "
I0430,4266,4 BHK,4,3,Yes,1993,1981-2000,Suburban,Poor,No," $73,466.00 "
I0431,2826,4 BHK,4,3,Yes,1967,1961-1980,Downtown,Fair,No," $2,87,626.00 "
I0432,3414,4 BHK,4,1,No,1968,1961-1980,Rural,Fair,Yes," $9,28,977.00 "
I0433,4452,4 BHK,4,3,Yes,1900,1900-1920,Urban,Good,Yes," $5,59,966.00 "
I0434,1095,2 BHK,2,2,No,1990,1981-2000,Rural,Fair,No," $6,24,694.00 "
I0435,1228,2 BHK,2,2,No,1991,1981-2000,Rural,Fair,No," $4,46,904.00 "
I0436,1865,3 BHK,3,2,No,1962,1961-1980,Urban,Poor,Yes," $6,43,572.00 "
I0437,4992,4 BHK,4,2,No,1928,1921-1940,Downtown,Good,No," $8,10,006.00 "
I0438,1198,2 BHK,2,2,No,1981,1981-2000,Rural,Fair,Yes," $9,51,011.00 "
I0439,895,2 BHK,2,3,Yes,1911,1900-1920,Rural,Good,Yes," $5,87,953.00 "
I0440,4671,4 BHK,4,3,Yes,1976,1961-1980,Rural,Fair,No," $5,94,929.00 "
I0441,4860,4 BHK,4,2,No,1940,1921-1940,Suburban,Poor,No," $4,75,716.00 "
I0442,3002,4 BHK,4,3,Yes,1901,1900-1920,Rural,Good,No," $6,10,085.00 "
I0443,2319,3 BHK,3,3,Yes,1936,1921-1940,Urban,Fair,No," $7,90,126.00 "
I0444,1217,2 BHK,2,2,No,1944,1941-1960,Downtown,Poor,Yes," $3,58,094.00 "
I0445,3282,4 BHK,4,3,Yes,1979,1961-1980,Downtown,Fair,No," $9,92,550.00 "
I0446,4077,4 BHK,4,3,Yes,1947,1941-1960,Urban,Good,No," $9,65,986.00 "
I0447,643,1 BHK,1,3,Yes,1923,1921-1940,Suburban,Fair,No," $6,76,627.00 "
I0448,3640,4 BHK,4,2,No,1998,1981-2000,Urban,Good,Yes," $6,87,719.00 "
I0449,4991,4 BHK,4,3,Yes,1921,1921-1940,Downtown,Good,No," $2,82,275.00 "
I0450,3438,4 BHK,4,1,No,1999,1981-2000,Urban,Fair,No," $4,52,854.00 "
I0451,4136,4 BHK,4,1,No,1910,1900-1920,Suburban,Poor,Yes," $8,57,605.00 "
I0452,3722,4 BHK,4,2,No,2018,2001-2020,Downtown,Excellent,Yes," $7,18,582.00 "
I0453,1667,3 BHK,3,1,No,1957,1941-1960,Suburban,Poor,Yes," $2,31,136.00 "
I0454,3116,4 BHK,4,2,No,1945,1941-1960,Urban,Poor,Yes," $2,18,082.00 "
I0455,1562,2 BHK,2,1,No,1928,1921-1940,Rural,Fair,Yes," $3,03,301.00 "
I0456,2656,4 BHK,4,1,No,1934,1921-1940,Urban,Poor,No," $5,92,383.00 "
I0457,3482,4 BHK,4,1,No,2011,2001-2020,Suburban,Poor,Yes," $1,73,554.00 "
I0458,3794,4 BHK,4,2,No,2017,2001-2020,Urban,Excellent,Yes," $4,44,655.00 "
I0459,1656,3 BHK,3,2,No,1914,1900-1920,Rural,Poor,Yes," $9,62,046.00 "
I0460,1232,2 BHK,2,3,Yes,1959,1941-1960,Suburban,Excellent,Yes," $8,09,277.00 "
I0461,4830,4 BHK,4,2,No,1994,1981-2000,Urban,Fair,Yes," $5,28,766.00 "
I0462,1453,2 BHK,2,1,No,1941,1941-1960,Suburban,Excellent,Yes," $9,72,879.00 "
I0463,3039,4 BHK,4,1,No,2004,2001-2020,Suburban,Good,Yes," $6,63,311.00 "
I0464,3824,4 BHK,4,2,No,1942,1941-1960,Downtown,Good,Yes," $6,81,469.00 "
I0465,3801,4 BHK,4,2,No,1979,1961-1980,Downtown,Excellent,No," $2,72,310.00 "
I0466,2042,3 BHK,3,2,No,1973,1961-1980,Suburban,Good,No," $8,57,032.00 "
I0467,1691,3 BHK,3,3,Yes,1948,1941-1960,Urban,Fair,No," $8,38,898.00 "
I0468,3493,4 BHK,4,1,No,1963,1961-1980,Urban,Good,Yes," $8,30,637.00 "
I0469,3181,4 BHK,4,3,Yes,1931,1921-1940,Urban,Excellent,Yes," $5,49,344.00 "
I0470,1717,3 BHK,3,3,Yes,1963,1961-1980,Rural,Fair,Yes," $7,50,457.00 "
I0471,2040,3 BHK,3,1,No,2014,2001-2020,Suburban,Good,No," $9,46,366.00 "
I0472,3736,4 BHK,4,1,No,1901,1900-1920,Suburban,Fair,Yes," $6,27,564.00 "
I0473,2886,4 BHK,4,2,No,1923,1921-1940,Rural,Excellent,Yes," $4,93,333.00 "
I0474,4219,4 BHK,4,2,No,1986,1981-2000,Suburban,Good,Yes," $4,90,187.00 "
I0475,1888,3 BHK,3,3,Yes,1965,1961-1980,Suburban,Fair,No," $3,19,072.00 "
I0476,2356,3 BHK,3,2,No,1937,1921-1940,Rural,Fair,No," $8,91,741.00 "
I0477,1865,3 BHK,3,2,No,1930,1921-1940,Downtown,Good,Yes," $2,55,719.00 "
I0478,999,2 BHK,2,1,No,2014,2001-2020,Suburban,Fair,No," $7,46,248.00 "
I0479,2180,3 BHK,3,1,No,2003,2001-2020,Rural,Fair,Yes," $8,00,385.00 "
I0480,1010,2 BHK,2,2,No,1925,1921-1940,Urban,Excellent,Yes," $7,49,192.00 "
I0481,4812,4 BHK,4,1,No,1928,1921-1940,Downtown,Excellent,No," $1,66,196.00 "
I0482,1824,3 BHK,3,2,No,1966,1961-1980,Urban,Excellent,No," $59,404.00 "
I0483,1655,3 BHK,3,1,No,2021,2021-2040,Suburban,Excellent,No," $4,76,855.00 "
I0484,2327,3 BHK,3,1,No,1977,1961-1980,Downtown,Excellent,No," $7,83,478.00 "
I0485,3641,4 BHK,4,1,No,1924,1921-1940,Rural,Excellent,Yes," $5,03,814.00 "
I0486,3986,4 BHK,4,1,No,1947,1941-1960,Suburban,Good,Yes," $6,87,475.00 "
I0487,2310,3 BHK,3,2,No,1964,1961-1980,Rural,Excellent,No," $9,46,881.00 "
I0488,3423,4 BHK,4,3,Yes,1952,1941-1960,Downtown,Fair,No," $6,01,972.00 "
I0489,2714,4 BHK,4,1,No,1966,1961-1980,Urban,Good,Yes," $6,42,879.00 "
I0490,4686,4 BHK,4,2,No,2017,2001-2020,Suburban,Fair,Yes," $4,31,965.00 "
I0491,1213,2 BHK,2,2,No,1989,1981-2000,Suburban,Excellent,Yes," $7,83,082.00 "
I0492,4102,4 BHK,4,1,No,1917,1900-1920,Rural,Excellent,Yes," $3,14,826.00 "
I0493,4634,4 BHK,4,3,Yes,1908,1900-1920,Downtown,Fair,No," $1,61,186.00 "
I0494,4022,4 BHK,4,1,No,1937,1921-1940,Rural,Fair,No," $8,17,469.00 "
I0495,4768,4 BHK,4,2,No,1986,1981-2000,Downtown,Fair,No," $5,96,120.00 "
I0496,1743,3 BHK,3,3,Yes,1920,1900-1920,Suburban,Poor,Yes," $5,91,285.00 "
I0497,4209,4 BHK,4,2,No,2020,2001-2020,Downtown,Poor,Yes," $3,46,784.00 "
I0498,1581,2 BHK,2,1,No,1964,1961-1980,Suburban,Poor,No," $5,20,098.00 "
I0499,955,2 BHK,2,3,Yes,1920,1900-1920,Downtown,Poor,No," $90,491.00 "
I0500,1394,2 BHK,2,2,No,1926,1921-1940,Urban,Good,No," $1,13,043.00 "
I0501,1884,3 BHK,3,2,No,2005,2001-2020,Downtown,Excellent,Yes," $9,48,607.00 "
I0502,2458,3 BHK,3,2,No,2022,2021-2040,Urban,Fair,No," $1,78,568.00 "
I0503,3572,4 BHK,4,1,No,1969,1961-1980,Downtown,Excellent,Yes," $4,26,394.00 "
I0504,2496,3 BHK,3,3,Yes,2018,2001-2020,Downtown,Fair,No," $6,47,013.00 "
I0505,4785,4 BHK,4,1,No,1943,1941-1960,Rural,Excellent,No," $1,78,131.00 "
I0506,1004,2 BHK,2,1,No,1999,1981-2000,Rural,Good,No," $95,520.00 "
I0507,1714,3 BHK,3,1,No,1927,1921-1940,Suburban,Poor,Yes," $3,75,063.00 "
I0508,2031,3 BHK,3,3,Yes,1944,1941-1960,Rural,Excellent,Yes," $6,84,157.00 "
I0509,3940,4 BHK,4,1,No,1916,1900-1920,Downtown,Fair,Yes," $6,38,730.00 "
I0510,1323,2 BHK,2,1,No,2022,2021-2040,Rural,Excellent,Yes," $8,35,313.00 "
I0511,1428,2 BHK,2,1,No,1939,1921-1940,Downtown,Good,Yes," $2,02,842.00 "
I0512,633,1 BHK,1,1,No,2021,2021-2040,Urban,Good,Yes," $4,17,390.00 "
I0513,2605,4 BHK,4,2,No,2015,2001-2020,Downtown,Excellent,No," $7,52,858.00 "
I0514,4127,4 BHK,4,1,No,1902,1900-1920,Suburban,Poor,Yes," $4,21,831.00 "
I0515,2352,3 BHK,3,2,No,1975,1961-1980,Urban,Fair,No," $5,72,485.00 "
I0516,4675,4 BHK,4,1,No,2002,2001-2020,Suburban,Good,Yes," $6,97,735.00 "
I0517,3433,4 BHK,4,3,Yes,1975,1961-1980,Suburban,Good,No," $6,35,765.00 "
I0518,3784,4 BHK,4,2,No,1965,1961-1980,Suburban,Excellent,No," $5,74,532.00 "
I0519,4798,4 BHK,4,2,No,2019,2001-2020,Rural,Good,Yes," $9,15,885.00 "
I0520,3311,4 BHK,4,2,No,1945,1941-1960,Suburban,Good,No," $5,00,953.00 "
I0521,1750,3 BHK,3,2,No,1985,1981-2000,Urban,Fair,Yes," $2,27,561.00 "
I0522,4012,4 BHK,4,3,Yes,1986,1981-2000,Downtown,Poor,Yes," $9,64,394.00 "
I0523,1756,3 BHK,3,1,No,1929,1921-1940,Suburban,Fair,Yes," $9,07,735.00 "
I0524,3876,4 BHK,4,2,No,1968,1961-1980,Urban,Poor,Yes," $3,40,534.00 "
I0525,3986,4 BHK,4,3,Yes,1908,1900-1920,Suburban,Fair,No," $5,84,535.00 "
I0526,4084,4 BHK,4,2,No,1984,1981-2000,Downtown,Excellent,Yes," $2,50,123.00 "
I0527,1896,3 BHK,3,1,No,1910,1900-1920,Urban,Good,No," $7,65,079.00 "
I0528,4137,4 BHK,4,2,No,1968,1961-1980,Urban,Poor,No," $4,77,894.00 "
I0529,3830,4 BHK,4,3,Yes,1998,1981-2000,Downtown,Excellent,No," $5,31,018.00 "
I0530,3203,4 BHK,4,1,No,1990,1981-2000,Urban,Good,Yes," $2,57,358.00 "
I0531,970,2 BHK,2,3,Yes,2012,2001-2020,Downtown,Good,No," $8,66,015.00 "
I0532,1853,3 BHK,3,1,No,1965,1961-1980,Urban,Good,Yes," $5,66,456.00 "
I0533,3283,4 BHK,4,1,No,1987,1981-2000,Urban,Fair,No," $1,89,148.00 "
I0534,3331,4 BHK,4,1,No,1930,1921-1940,Downtown,Excellent,Yes," $9,85,510.00 "
I0535,857,2 BHK,2,2,No,1932,1921-1940,Downtown,Excellent,Yes," $1,96,123.00 "
I0536,3519,4 BHK,4,3,Yes,1938,1921-1940,Urban,Good,Yes," $4,47,530.00 "
I0537,1167,2 BHK,2,3,Yes,1993,1981-2000,Urban,Poor,Yes," $6,02,958.00 "
I0538,4968,4 BHK,4,3,Yes,1945,1941-1960,Downtown,Excellent,No," $5,43,973.00 "
I0539,1645,3 BHK,3,1,No,1936,1921-1940,Rural,Fair,No," $9,61,352.00 "
I0540,4685,4 BHK,4,2,No,2014,2001-2020,Downtown,Poor,Yes," $60,236.00 "
I0541,4219,4 BHK,4,1,No,1991,1981-2000,Urban,Poor,No," $85,568.00 "
I0542,3245,4 BHK,4,3,Yes,1959,1941-1960,Urban,Poor,Yes," $6,81,615.00 "
I0543,1039,2 BHK,2,2,No,1930,1921-1940,Urban,Poor,Yes," $3,05,745.00 "
I0544,3279,4 BHK,4,2,No,1910,1900-1920,Downtown,Excellent,No," $4,22,332.00 "
